Hads	Hf	deltaHads ref=-2.196498800010886	deltaHf ref=-53.17345373055372
-2.0017999480478466	-49.681669174034965	0.1946988519630395	3.491784556518752
-1.9841865724883974	-43.7389957645282	0.21231222752248868	9.43445796602552
-2.003745024150703	-48.25752057653429	0.19275377586018294	4.915933154019427
-2.159533287223894	-36.25441379039083	0.036965512786991894	16.91903994016289
-2.3633592622936703	-69.73010649130299	-0.16686046228278428	-16.556652760749273
-2.0937573761329986	-55.902611959432306	0.10274142387788743	-2.729158228878589
-2.28504898265237	-66.9749767365328	-0.08855018264148384	-13.801523005979078
-2.0994314295239747	-68.3675567300728	0.09706737048691139	-15.194102999519089
-2.104770013364032	-66.37940921914372	0.09172878664685413	-13.205955488590007
-2.544876736938022	-92.69858923565278	-0.34837793692713603	-39.52513550509906
-1.9703311820048839	-45.56408154078093	0.22616761800600216	7.609372189772785
-2.3275038960273378	-64.53046948360739	-0.13100509601645172	-11.357015753053673
-2.5829034029738978	-78.84775436971495	-0.3864046029630117	-25.67430063916123
-2.027556582703255	-32.92588416042631	0.16894221730763093	20.24756957012741
-2.271626969508361	-52.369987374580575	-0.07512816949747503	0.8034663559731428
-2.1883292295970023	-48.21492132627063	0.008169570413883775	4.9585324042830905
-2.351630407385528	-74.06712529452946	-0.15513160737464204	-20.893671563975744
-2.1364473199937493	-60.207694872448116	0.06005148001713678	-7.034241141894398
-2.230003083124757	-65.16297156166675	-0.03350428311387077	-11.989517831113034
-2.176361699530389	-78.82834904011452	0.020137100480496883	-25.6548953095608
-2.3212634490337223	-46.92163955568239	-0.12476464902283624	6.251814174871328
-2.356331017508637	-68.38055380236003	-0.15983221749775112	-15.207100071806309
-2.28374106035335	-62.6576199536629	-0.08724226034246385	-9.484166223109185
-2.4018318916205317	-74.30269403769921	-0.20533309160964563	-21.129240307145494
-2.133633795310743	-49.173154694618034	0.06286500470014289	4.000299035935683
-2.258041660010349	-60.14312370318578	-0.06154285999946296	-6.969669972632062
-2.0065184359555133	-21.872088080022763	0.18998036405537277	31.301365650530954
-2.0732147383969277	-44.6616225610226	0.12328406161395833	8.51183116953112
-2.0254665282554924	-51.47644998874449	0.1710322717553936	1.697003741809226
-1.9642001178581268	-42.86685614381983	0.23229868215275928	10.306597586733886
-1.9846954274107702	-20.82573077845936	0.21180337260011584	32.34772295209436
-2.1314227961702272	-62.5334898841611	0.06507600384065881	-9.360036153607382
-2.2408592475694604	-62.756064124446596	-0.04436044755857438	-9.582610393892878
-2.3135994881158695	-49.79781036310584	-0.11710068810498342	3.3756433674478785
-2.3230083501548506	-66.28349089857431	-0.1265095501439646	-13.110037168020597
-2.3417915587779135	-68.6126473435508	-0.1452927587670274	-15.439193612997087
-2.4545415673055686	-68.65564815676476	-0.25804276729468256	-15.482194426211038
-2.097572583472356	-40.29575875824955	0.09892621653852984	12.87769497230417
-2.381471710279584	-70.7593407141787	-0.1849729102686979	-17.585886983624988
-2.2768612485961057	-84.4308093979075	-0.08036244858521968	-31.257355667353778
-2.056395518651698	-26.21073438216675	0.14010328135918826	26.96271934838697
-2.3745633631478995	-64.0576899926514	-0.17806456313701347	-10.884236262097687
-2.2726157502038404	-55.411128177442436	-0.07611695019295439	-2.237674446888718
